city_id,city_name,state,timestamp_utc,pm25,latitude,longitude,sensor_id,location_id,data_source
KOL,Kolkata,West Bengal,2025-12-04T00:00:00Z,-9999.0,-17.634021,-71.335221,8437798,2578972,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,20.0,35.21815,128.57425,8539597,2622686,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T03:00:00Z,-1.0,54.88361359025449,23.83583450024486,23735,8152,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,16.0,40.1465,117.07089999999998,238048,43487,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-08-09T14:00:00Z,9.0,37.64553,-118.96676,7320157,1772963,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,8.4,38.59246,-82.80677,6236505,1066093,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-12-09T12:00:00Z,6.0,53.129418999879455,23.108024999656525,7754909,2146563,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2022-10-31T01:45:00Z,154.81,29.966942,76.875879,20961,7282,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-07-21T20:00:00Z,15.872727220708674,45.08163372052002,13.643801808266366,9957979,2953756,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-07-29T19:00:00Z,8.19,-38.32676,146.3261,9969693,10819,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-07-03T07:00:00Z,0.0,38.05043,-122.15454,9963443,2954721,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,4.0,37.68975,-121.77155,9963450,2954722,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-01-31T05:00:00Z,28.90916668574015,49.0459,8.52337,15241246,6212143,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,5.8,47.834999,-122.251261,17131827,6473136,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2022-10-28T04:00:00Z,9.551,38.14548,27.36276,2083385,368885,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,6.1,41.3644,-83.6612,9916553,2946546,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,12.9,51.966058631890675,6.289890937160651,9074015,2827201,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-01-13T23:00:00Z,0.0,15.257387898044886,104.03668778711167,9959326,2953982,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2022-10-31T01:45:00Z,86.11,14.675885999999998,77.593027,2028432,358456,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,1.9,41.130195,-8.423484,16292329,6353390,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-05-27T02:00:00Z,-9999.0,-27.090836,150.400418,9381416,2868409,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-01-08T11:45:00Z,6.3,-14.49654,-71.776884,9959962,2954096,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2020-01-09T16:00:00Z,1.0,39.403903,-120.195751,20581,7146,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-11-27T12:52:07Z,0.0,-41.928,147.491,14439,5472,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,6.9,40.48477,-80.09495,9381396,2868408,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T03:15:00Z,17.0,26.1403345,85.3650192,12241395,229987,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T03:30:00Z,9.28,12.21041,76.37376,12241384,7289,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,5.3,50.1009772,-122.9864273,9966667,2955245,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,20.0,34.1164,108.6116,237891,43504,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-01-05T19:55:00Z,8.0,-14.422226,-71.828257,9974167,2956512,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-04-12T22:00:00Z,26.0,37.404167,126.72611099999999,8539667,2623591,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T03:30:00Z,43.28,28.885279999999998,78.7388,12241402,270697,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2023-06-30T13:00:00Z,4.0,19.5329,-99.0303,3587,2020,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2022-10-16T16:00:00Z,20.0,14.7918,75.38959999999999,1757429,309803,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-07-11T15:00:00Z,5.0,41.18222,-104.77833599999998,29009,9497,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:02:41Z,21.81,8.41076,-13.14286,16360765,6368234,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-11-27T18:00:00Z,9.58346,42.66569999989244,20.305089999895873,2773184,494941,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2017-08-20T18:00:00Z,10.0,38.767533,-119.79887,12940,5069,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2023-10-11T10:00:00Z,5.989,39.1380601097263,34.1682767495831,2078948,368834,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T01:15:00Z,6.0,17.460103,78.334361,12242121,5623,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,0.5,42.63709592339984,-73.85600281744806,16360767,6368236,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,0.0,-43.5599449,172.6436133,9384695,2868842,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2022-10-16T15:45:00Z,23.3,22.58157048,88.41002457,36317,10851,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2022-10-31T00:45:00Z,238.0,28.732528,77.11992,36399,10831,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-07-11T16:00:00Z,8.0,36.42516799999999,127.395931,8539689,2623759,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,5.4,42.07435,-87.70507,17132482,6473224,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2020-11-24T16:00:00Z,0.0,36.247808,-121.781317,5454,2615,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T01:00:00Z,2.85866,50.38642599999855,8.059908999819234,1312653,4732,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,5.4,39.8281,-104.93645,1309256,226745,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-02-13T21:00:00Z,4.438749988873799,43.447,-80.48,9975831,2956818,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,3.8,41.796336,12.444548,15244073,6212602,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-04-11T04:00:00Z,0.0,-38.665227,175.924586,15246370,6212911,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,9.06997,44.319138999966434,23.7967079998543,1853210,10808,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,15.0,28.2189,112.8872,29538,9592,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,3.2,42.541077,-121.921636,23032,7944,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,7.0,32.5,80.1161,30166,9709,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,15.1,43.2167,76.7743,16296836,6353999,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,3.1,51.5835993,-1.5156409,9965662,2955058,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,14.0,39.143196999999994,-76.84619199999999,2050,1142,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,3.9,46.682299,-68.016195,1802,1000,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,3.0,41.75613,-124.20347,22904,7903,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,6.9,30.323,-97.7496,8783057,2732901,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,7.0,49.61157000022714,6.118469999695286,29795,9642,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,2.7,51.136354,-114.145923,9976876,2957005,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-10-01T07:00:00Z,9.317301511764526,14.63634665114693,102.78607574105901,9032170,2821629,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,4.2,51.52224,-0.15657,7897374,2453319,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,22.1,-37.765431408016745,144.92159283860687,9458479,2878674,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-04-02T05:00:00Z,52.916666666666664,18.83658958412909,97.93999695256035,9075438,2827390,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,0.0,54.05389,-128.671436,2176,1215,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,6.0,49.70516,-123.15133,25641,8794,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-11-11T17:00:00Z,6.5,31.768056,-106.501111,1331118,41398,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,24.0,26.571,101.6891,34373,10418,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,12.4,47.681988,-122.125229,17133422,6473354,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-12-04T00:00:00Z,0.0,-4.914723,-80.960358,8437748,2578976,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,17.0,29.911,121.83580000000002,31737,9982,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,10.0,22.738,114.06780000000002,29356,9556,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,6.0,42.715280000299245,-7.449440000044521,22443,7716,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-12-04T00:05:00Z,3.4,-9.561408,-77.083976,8437751,2578975,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,3.1,45.75329999969274,5.072199999985248,40635,3799,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T03:30:00Z,6.79,22.368195,82.746431,12242173,3409365,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,0.0,-38.66538,175.924593,15246882,6212981,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,3.2,40.86196345660962,-124.06708008112147,9720124,2914454,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,0.0,48.011240402039554,14.396925297261548,9721536,2914675,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-03-16T14:00:00Z,8.870833198229471,28.21795003995139,-80.7259570201707,9403078,2871295,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,36.7,42.280405,22.758804,15251328,6213577,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,4.2,44.5694430002562,5.27897200043165,5614,2676,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T01:00:00Z,4.98901,52.48416800001682,13.123698000137418,23604,3096,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2024-03-15T20:00:00Z,45.3,42.687073,21.158341000000004,8437776,2578981,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-01-08T12:00:00Z,6.1,-10.750829,-76.263631,8437777,2578967,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-01-08T12:00:00Z,8.1,-13.707724000000002,-76.193606,8437784,2578983,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,47.0,35.7754,115.08659999999999,26886,9066,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-21T06:00:00Z,0.7,48.872386,2.504768,16299562,6354360,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-12-04T00:05:00Z,51.0,-12.012363,-76.937171,8437787,2578970,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-12-04T00:05:00Z,36.7,-11.996141,-76.922521,8437791,2578968,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-07-09T23:00:00Z,4.0,41.58885,-109.23784,9991917,2959755,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T04:00:00Z,0.0,42.1281538,-77.0801609,17134382,6473486,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2026-08-25T05:00:00Z,3.7,40.7269,-73.8933,1103,628,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,5.0,29.722800000000003,106.6263,30910,9845,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2021-08-09T11:00:00Z,15.0,18.3443,109.73479999999999,237299,43440,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-12-04T00:00:00Z,-9999.0,-17.61076,-71.340649,8437797,2578974,OpenAQ monitored measurement
BLR,Bengaluru,Karnataka,2025-12-04T00:00:00Z,-9999.0,-17.634021,-71.335221,8437798,2578972,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,20.0,35.21815,128.57425,8539597,2622686,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T03:00:00Z,-1.0,54.88361359025449,23.83583450024486,23735,8152,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,16.0,40.1465,117.07089999999998,238048,43487,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-08-09T14:00:00Z,9.0,37.64553,-118.96676,7320157,1772963,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,8.4,38.59246,-82.80677,6236505,1066093,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-12-09T12:00:00Z,6.0,53.129418999879455,23.108024999656525,7754909,2146563,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2022-10-31T01:45:00Z,154.81,29.966942,76.875879,20961,7282,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-07-21T20:00:00Z,15.872727220708674,45.08163372052002,13.643801808266366,9957979,2953756,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-07-29T19:00:00Z,8.19,-38.32676,146.3261,9969693,10819,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-07-03T07:00:00Z,0.0,38.05043,-122.15454,9963443,2954721,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,4.0,37.68975,-121.77155,9963450,2954722,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-01-31T05:00:00Z,28.90916668574015,49.0459,8.52337,15241246,6212143,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,5.8,47.834999,-122.251261,17131827,6473136,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2022-10-28T04:00:00Z,9.551,38.14548,27.36276,2083385,368885,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,6.1,41.3644,-83.6612,9916553,2946546,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,12.9,51.966058631890675,6.289890937160651,9074015,2827201,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-01-13T23:00:00Z,0.0,15.257387898044886,104.03668778711167,9959326,2953982,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2022-10-31T01:45:00Z,86.11,14.675885999999998,77.593027,2028432,358456,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,1.9,41.130195,-8.423484,16292329,6353390,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-05-27T02:00:00Z,-9999.0,-27.090836,150.400418,9381416,2868409,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-01-08T11:45:00Z,6.3,-14.49654,-71.776884,9959962,2954096,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2020-01-09T16:00:00Z,1.0,39.403903,-120.195751,20581,7146,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-11-27T12:52:07Z,0.0,-41.928,147.491,14439,5472,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,6.9,40.48477,-80.09495,9381396,2868408,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T03:15:00Z,17.0,26.1403345,85.3650192,12241395,229987,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T03:30:00Z,9.28,12.21041,76.37376,12241384,7289,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,5.3,50.1009772,-122.9864273,9966667,2955245,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,20.0,34.1164,108.6116,237891,43504,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-01-05T19:55:00Z,8.0,-14.422226,-71.828257,9974167,2956512,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-04-12T22:00:00Z,26.0,37.404167,126.72611099999999,8539667,2623591,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T03:30:00Z,43.28,28.885279999999998,78.7388,12241402,270697,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2023-06-30T13:00:00Z,4.0,19.5329,-99.0303,3587,2020,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2022-10-16T16:00:00Z,20.0,14.7918,75.38959999999999,1757429,309803,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-07-11T15:00:00Z,5.0,41.18222,-104.77833599999998,29009,9497,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:02:41Z,21.81,8.41076,-13.14286,16360765,6368234,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-11-27T18:00:00Z,9.58346,42.66569999989244,20.305089999895873,2773184,494941,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2017-08-20T18:00:00Z,10.0,38.767533,-119.79887,12940,5069,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2023-10-11T10:00:00Z,5.989,39.1380601097263,34.1682767495831,2078948,368834,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T01:15:00Z,6.0,17.460103,78.334361,12242121,5623,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,0.5,42.63709592339984,-73.85600281744806,16360767,6368236,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,0.0,-43.5599449,172.6436133,9384695,2868842,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2022-10-16T15:45:00Z,23.3,22.58157048,88.41002457,36317,10851,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2022-10-31T00:45:00Z,238.0,28.732528,77.11992,36399,10831,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-07-11T16:00:00Z,8.0,36.42516799999999,127.395931,8539689,2623759,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,5.4,42.07435,-87.70507,17132482,6473224,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2020-11-24T16:00:00Z,0.0,36.247808,-121.781317,5454,2615,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T01:00:00Z,2.85866,50.38642599999855,8.059908999819234,1312653,4732,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,5.4,39.8281,-104.93645,1309256,226745,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-02-13T21:00:00Z,4.438749988873799,43.447,-80.48,9975831,2956818,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,3.8,41.796336,12.444548,15244073,6212602,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-04-11T04:00:00Z,0.0,-38.665227,175.924586,15246370,6212911,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,9.06997,44.319138999966434,23.7967079998543,1853210,10808,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,15.0,28.2189,112.8872,29538,9592,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,3.2,42.541077,-121.921636,23032,7944,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,7.0,32.5,80.1161,30166,9709,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,15.1,43.2167,76.7743,16296836,6353999,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,3.1,51.5835993,-1.5156409,9965662,2955058,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,14.0,39.143196999999994,-76.84619199999999,2050,1142,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,3.9,46.682299,-68.016195,1802,1000,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,3.0,41.75613,-124.20347,22904,7903,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,6.9,30.323,-97.7496,8783057,2732901,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,7.0,49.61157000022714,6.118469999695286,29795,9642,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,2.7,51.136354,-114.145923,9976876,2957005,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-10-01T07:00:00Z,9.317301511764526,14.63634665114693,102.78607574105901,9032170,2821629,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,4.2,51.52224,-0.15657,7897374,2453319,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,22.1,-37.765431408016745,144.92159283860687,9458479,2878674,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-04-02T05:00:00Z,52.916666666666664,18.83658958412909,97.93999695256035,9075438,2827390,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,0.0,54.05389,-128.671436,2176,1215,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,6.0,49.70516,-123.15133,25641,8794,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-11-11T17:00:00Z,6.5,31.768056,-106.501111,1331118,41398,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,24.0,26.571,101.6891,34373,10418,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,12.4,47.681988,-122.125229,17133422,6473354,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-12-04T00:00:00Z,0.0,-4.914723,-80.960358,8437748,2578976,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,17.0,29.911,121.83580000000002,31737,9982,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,10.0,22.738,114.06780000000002,29356,9556,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,6.0,42.715280000299245,-7.449440000044521,22443,7716,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-12-04T00:05:00Z,3.4,-9.561408,-77.083976,8437751,2578975,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,3.1,45.75329999969274,5.072199999985248,40635,3799,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T03:30:00Z,6.79,22.368195,82.746431,12242173,3409365,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,0.0,-38.66538,175.924593,15246882,6212981,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,3.2,40.86196345660962,-124.06708008112147,9720124,2914454,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,0.0,48.011240402039554,14.396925297261548,9721536,2914675,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-03-16T14:00:00Z,8.870833198229471,28.21795003995139,-80.7259570201707,9403078,2871295,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,36.7,42.280405,22.758804,15251328,6213577,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,4.2,44.5694430002562,5.27897200043165,5614,2676,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T01:00:00Z,4.98901,52.48416800001682,13.123698000137418,23604,3096,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2024-03-15T20:00:00Z,45.3,42.687073,21.158341000000004,8437776,2578981,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-01-08T12:00:00Z,6.1,-10.750829,-76.263631,8437777,2578967,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-01-08T12:00:00Z,8.1,-13.707724000000002,-76.193606,8437784,2578983,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,47.0,35.7754,115.08659999999999,26886,9066,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-21T06:00:00Z,0.7,48.872386,2.504768,16299562,6354360,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-12-04T00:05:00Z,51.0,-12.012363,-76.937171,8437787,2578970,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-12-04T00:05:00Z,36.7,-11.996141,-76.922521,8437791,2578968,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-07-09T23:00:00Z,4.0,41.58885,-109.23784,9991917,2959755,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T04:00:00Z,0.0,42.1281538,-77.0801609,17134382,6473486,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2026-08-25T05:00:00Z,3.7,40.7269,-73.8933,1103,628,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,5.0,29.722800000000003,106.6263,30910,9845,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2021-08-09T11:00:00Z,15.0,18.3443,109.73479999999999,237299,43440,OpenAQ monitored measurement
CHE,Chennai,Tamil Nadu,2025-12-04T00:00:00Z,-9999.0,-17.61076,-71.340649,8437797,2578974,OpenAQ monitored measurement
